16 Apr 2026 16:33:54,908  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 91731-266315, J: 207-19; DC: 31-4; E: 2221-3973; JE: 17-8; IC: 165-167; RS: 75-29; AH: 0-0; Q: 928-7466; TT: 128-142; TL: 25703-52978; UC: 1702-31691; HP: 0-0; PL: 1578-1689; PN: 386-447; IL: 47073-142513; QL: 432-857; NL: 11085-24332
16 Apr 2026 16:33:54,909  INFO AllocatedBytesLogger - Total: sum: 0 B, elapsed 23ms, missed-hit: All: 101991-609983, J: 243-29; DC: 57-43; E: 2668-4574; JE: 33-9; IC: 179-179; RS: 78-31; AH: 0-0; Q: 1088-7687; TT: 162-162; TL: 27261-56341; UC: 1963-36615; HP: 3-5; PL: 1609-1721; PN: 410-474; IL: 53508-474414; QL: 510-996; NL: 12219-26703
16 Apr 2026 16:38:26,603  INFO AllocatedBytesLogger - PID 95: 720,5 MB, Thread RMI:navigator, TID - (95), Comp. 172.19.0.1, User admin, Roles Администратор, По умолчанию, missed-hit: All: 31522-107164, J: 141-111; DC: 55-72; E: 1607-2123; JE: 155-120; IC: 46-73; RS: 15-8; AH: 0-0; Q: 335-562; TT: 14-25; TL: 3493-14149; UC: 929-13946; HP: 4-9; PL: 427-451; PN: 37-140; IL: 21690-67086; QL: 260-381; NL: 2314-7908
16 Apr 2026 16:38:26,614  INFO AllocatedBytesLogger - Exceeded: sum: 720,5 MB, 			missed-hit: All: 31522-107164, J: 141-111; DC: 55-72; E: 1607-2123; JE: 155-120; IC: 46-73; RS: 15-8; AH: 0-0; Q: 335-562; TT: 14-25; TL: 3493-14149; UC: 929-13946; HP: 4-9; PL: 427-451; PN: 37-140; IL: 21690-67086; QL: 260-381; NL: 2314-7908
16 Apr 2026 16:38:26,615  INFO AllocatedBytesLogger - Total: sum: 728,3 MB, elapsed 21ms, missed-hit: All: 32868-119124, J: 151-111; DC: 55-72; E: 1650-2233; JE: 161-121; IC: 47-93; RS: 16-12; AH: 0-0; Q: 353-608; TT: 14-27; TL: 3734-15432; UC: 949-17387; HP: 4-9; PL: 437-461; PN: 41-146; IL: 22553-73574; QL: 272-407; NL: 2431-8431
16 Apr 2026 17:43:50,996  INFO AllocatedBytesLogger - PID 1: 0 B, Thread START, TID - (1), Comp. system, User system, Roles system, missed-hit: All: 15842-55427, J: 2-6; DC: 4-0; E: 297-617; JE: 0-0; IC: 25-12; RS: 8-2; AH: 0-0; Q: 136-159; TT: 2-3; TL: 2593-14493; UC: 427-5238; HP: 0-0; PL: 10-11; PN: 0-0; IL: 11641-33564; QL: 61-120; NL: 636-1202
16 Apr 2026 17:43:50,998  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 15842-55427, J: 2-6; DC: 4-0; E: 297-617; JE: 0-0; IC: 25-12; RS: 8-2; AH: 0-0; Q: 136-159; TT: 2-3; TL: 2593-14493; UC: 427-5238; HP: 0-0; PL: 10-11; PN: 0-0; IL: 11641-33564; QL: 61-120; NL: 636-1202
16 Apr 2026 17:43:50,999  INFO AllocatedBytesLogger - Total: sum: 0 B, elapsed 34ms, missed-hit: All: 31129-116108, J: 123-22; DC: 28-64; E: 944-1363; JE: 49-10; IC: 34-60; RS: 12-6; AH: 0-0; Q: 354-470; TT: 113-22; TL: 4351-19609; UC: 787-15681; HP: 0-0; PL: 135-154; PN: 10-11; IL: 22075-74035; QL: 158-296; NL: 1956-4305
16 Apr 2026 17:45:21,529  INFO AllocatedBytesLogger - PID 90: 0 B, Thread RMI:Student.view, TID - (90), Comp. 172.19.0.1, User admin, Roles Администратор, По умолчанию, missed-hit: All: 42067-139787, J: 160-111; DC: 55-72; E: 2049-2231; JE: 177-112; IC: 52-42; RS: 15-4; AH: 0-0; Q: 351-511; TT: 17-17; TL: 4311-24882; UC: 1195-17424; HP: 8-12; PL: 469-497; PN: 74-203; IL: 30288-85327; QL: 273-395; NL: 2573-7947
16 Apr 2026 17:45:21,531  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 42067-139787, J: 160-111; DC: 55-72; E: 2049-2231; JE: 177-112; IC: 52-42; RS: 15-4; AH: 0-0; Q: 351-511; TT: 17-17; TL: 4311-24882; UC: 1195-17424; HP: 8-12; PL: 469-497; PN: 74-203; IL: 30288-85327; QL: 273-395; NL: 2573-7947
16 Apr 2026 17:45:21,535  INFO AllocatedBytesLogger - Total: sum: 8,7 MB, elapsed 8ms, missed-hit: All: 55168-211835, J: 259-125; DC: 73-77; E: 2460-2709; JE: 185-113; IC: 62-70; RS: 18-8; AH: 0-0; Q: 624-710; TT: 77-58; TL: 7324-36482; UC: 1446-25366; HP: 8-12; PL: 584-1644; PN: 108-240; IL: 37817-131433; QL: 531-802; NL: 3592-11986
16 Apr 2026 17:58:21,123  INFO AllocatedBytesLogger - PID 1: 0 B, Thread START, TID - (1), Comp. system, User system, Roles system, missed-hit: All: 15843-55423, J: 2-6; DC: 4-0; E: 297-617; JE: 0-0; IC: 25-12; RS: 8-2; AH: 0-0; Q: 136-159; TT: 2-3; TL: 2593-14489; UC: 427-5238; HP: 0-0; PL: 10-11; PN: 0-0; IL: 11642-33564; QL: 61-120; NL: 636-1202
16 Apr 2026 17:58:21,124  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 15843-55423, J: 2-6; DC: 4-0; E: 297-617; JE: 0-0; IC: 25-12; RS: 8-2; AH: 0-0; Q: 136-159; TT: 2-3; TL: 2593-14489; UC: 427-5238; HP: 0-0; PL: 10-11; PN: 0-0; IL: 11642-33564; QL: 61-120; NL: 636-1202
16 Apr 2026 17:58:21,125  INFO AllocatedBytesLogger - Total: sum: 0 B, elapsed 12ms, missed-hit: All: 30394-111311, J: 124-22; DC: 27-69; E: 946-1378; JE: 51-10; IC: 34-54; RS: 11-5; AH: 0-0; Q: 351-478; TT: 112-10; TL: 4437-18947; UC: 780-14178; HP: 0-0; PL: 99-107; PN: 10-24; IL: 21343-71567; QL: 151-276; NL: 1918-4186
16 Apr 2026 18:02:53,890  INFO AllocatedBytesLogger - PID 89: 0 B, Thread RMI:Question.view, TID - (89), Comp. 172.19.0.1, User admin, Roles Администратор, По умолчанию, missed-hit: All: 40794-132916, J: 155-111; DC: 55-72; E: 2026-2180; JE: 175-110; IC: 48-35; RS: 14-3; AH: 0-0; Q: 349-503; TT: 17-13; TL: 4141-23526; UC: 1182-15688; HP: 8-12; PL: 300-325; PN: 41-126; IL: 29491-81908; QL: 265-386; NL: 2527-7918
16 Apr 2026 18:02:53,891  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 40794-132916, J: 155-111; DC: 55-72; E: 2026-2180; JE: 175-110; IC: 48-35; RS: 14-3; AH: 0-0; Q: 349-503; TT: 17-13; TL: 4141-23526; UC: 1182-15688; HP: 8-12; PL: 300-325; PN: 41-126; IL: 29491-81908; QL: 265-386; NL: 2527-7918
16 Apr 2026 18:02:53,896  INFO AllocatedBytesLogger - Total: sum: 14,0 MB, elapsed 8ms, missed-hit: All: 47332-171899, J: 216-131; DC: 56-77; E: 2335-2596; JE: 209-113; IC: 50-64; RS: 16-8; AH: 0-0; Q: 427-596; TT: 19-17; TL: 5056-26213; UC: 1374-21636; HP: 8-12; PL: 422-3808; PN: 67-156; IL: 33638-106224; QL: 291-435; NL: 3148-9813
16 Apr 2026 18:12:56,068  INFO AllocatedBytesLogger - PID 1: 0 B, Thread START, TID - (1), Comp. system, User system, Roles system, missed-hit: All: 15834-55372, J: 2-6; DC: 4-0; E: 297-617; JE: 0-0; IC: 25-12; RS: 8-2; AH: 0-0; Q: 136-156; TT: 2-5; TL: 2593-14484; UC: 427-5238; HP: 0-0; PL: 10-11; PN: 0-0; IL: 11636-33525; QL: 61-120; NL: 633-1196
16 Apr 2026 18:12:56,069  INFO AllocatedBytesLogger - Exceeded: sum: 0 B, 			missed-hit: All: 15834-55372, J: 2-6; DC: 4-0; E: 297-617; JE: 0-0; IC: 25-12; RS: 8-2; AH: 0-0; Q: 136-156; TT: 2-5; TL: 2593-14484; UC: 427-5238; HP: 0-0; PL: 10-11; PN: 0-0; IL: 11636-33525; QL: 61-120; NL: 633-1196
