16 Apr 2026 16:29:26,056 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@62c30e17
16 Apr 2026 16:41:10,554 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,4)
16 Apr 2026 16:41:12,960 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,5), value : И
16 Apr 2026 16:41:13,075 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,5)
16 Apr 2026 16:41:13,311 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,6), value : Ин
16 Apr 2026 16:41:13,357 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,6)
16 Apr 2026 16:41:13,587 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,7), value : Инт
16 Apr 2026 16:41:13,634 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,7)
16 Apr 2026 16:41:14,025 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,8), value : Инте
16 Apr 2026 16:41:14,071 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,8)
16 Apr 2026 16:41:14,568 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,9), value : Интег
16 Apr 2026 16:41:14,624 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,9)
16 Apr 2026 16:41:14,700 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,10), value : Интегр
16 Apr 2026 16:41:14,717 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,10)
16 Apr 2026 16:41:14,882 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,11), value : Интегри
16 Apr 2026 16:41:14,924 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,11)
16 Apr 2026 16:41:15,055 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,12), value : Интегрир
16 Apr 2026 16:41:15,129 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,12)
16 Apr 2026 16:41:15,295 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,13), value : Интегриро
16 Apr 2026 16:41:15,320 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,13)
16 Apr 2026 16:41:15,493 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,14), value : Интегриров
16 Apr 2026 16:41:15,510 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,14)
16 Apr 2026 16:41:15,711 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,15), value : Интегрирова
16 Apr 2026 16:41:15,772 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,15)
16 Apr 2026 16:41:15,915 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,16), value : Интегрирован
16 Apr 2026 16:41:15,951 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,16)
16 Apr 2026 16:41:16,062 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,17), value : Интегрированн
16 Apr 2026 16:41:16,100 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,17)
16 Apr 2026 16:41:16,390 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,18), value : Интегрированны
16 Apr 2026 16:41:16,472 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,18)
16 Apr 2026 16:41:16,627 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,19), value : Интегрированные
16 Apr 2026 16:41:16,672 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,19)
16 Apr 2026 16:41:16,810 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,20), value : Интегрированные 
16 Apr 2026 16:41:16,857 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,20)
16 Apr 2026 16:41:17,602 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,21), value : Интегрированные с
16 Apr 2026 16:41:17,637 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,21)
16 Apr 2026 16:41:17,818 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,22), value : Интегрированные си
16 Apr 2026 16:41:17,854 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,22)
16 Apr 2026 16:41:18,037 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,23), value : Интегрированные сис
16 Apr 2026 16:41:18,068 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,23)
16 Apr 2026 16:41:18,346 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,24), value : Интегрированные сист
16 Apr 2026 16:41:18,393 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,24)
16 Apr 2026 16:41:18,557 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,25), value : Интегрированные систе
16 Apr 2026 16:41:18,604 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,25)
16 Apr 2026 16:41:18,770 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,26), value : Интегрированные систем
16 Apr 2026 16:41:18,803 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,26)
16 Apr 2026 16:41:20,921 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,27), value : Интегрированные систе
16 Apr 2026 16:41:20,924 admin - 172.19.0.1 - 172.19.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#95,RMI:Discipline.view, TID - (95),5,RMI Runtime], indices : (-1,0,27)
